queue_position,video_id,upload_date,final_caption,original_caption,was_translated,views,duration_s,sort_ts
17,6813461060683582726,2020-04-08,Most powerful turn ever?! Que tiro foi esse?! 💥🔥 #power #turn #fyp #viralvideo #motor #viralclip #oneturn #skim #surf #skimboarding #skimming #fyp,Most powerful turn ever?! Que tiro foi esse?! 💥🔥 #power #turn #fyp #viralvideo #motor #viralclip #oneturn #skim #surf #skimboarding #skimming #fyp,0,2937,12,1586382528
18,6813874376459554054,2020-04-10,#Carnaval #Carioca e suas loucuras 😂☠️ Just having #fun during #carnival in #Brazil ￼🤣😳 #fyp #viral #viralclip #fail #wipeout #viralvideo #rio,#Carnaval #Carioca e suas loucuras 😂☠️ Just having #fun during #carnival in #Brazil ￼🤣😳 #fyp #viral #viralclip #fail #wipeout #viralvideo #rio,0,4761,27,1586478758
19,6815692211884281094,2020-04-14,Just having #fun with the boys 🙌🏼🤪🤣😂 #barrel #fyp #tube #epic #gopro,Just having #fun with the boys 🙌🏼🤪🤣😂 #barrel #fyp #tube #epic #gopro,0,3445,36,1586902008
20,6815693694159555845,2020-04-14,Of course something was going wrong 🤪🤣😱🤯 #fail #wipeout #waves #fun #epic #fyp,Of course something was going wrong 🤪🤣😱🤯 #fail #wipeout #waves #fun #epic #fyp,0,3775,39,1586902351
21,6815694598094982406,2020-04-14,#Skateboarding on #Water ?! 🤯 #fyp #skimboarding #epic #awesome #surfing,#Skateboarding on #Water ?! 🤯 #fyp #skimboarding #epic #awesome #surfing,0,6008,10,1586902561
22,6816012530599693574,2020-04-15,Finless #barrel on a #skimboard 🔥🙌🏼 Kissed by god ✨ #boredathome #fyp #viralvideo #skimboarding #surfing #tube #wave #epic #surf,Finless #barrel on a #skimboard 🔥🙌🏼 Kissed by god ✨ #boredathome #fyp #viralvideo #skimboarding #surfing #tube #wave #epic #surf,0,3531,11,1586976588
23,6816054870987066630,2020-04-15,#Skimboarding @ #RioDeJaneiro 🍇 #tiktokbr #rj #brasil #brazil #mpb #foryou,#Skimboarding @ #RioDeJaneiro 🍇 #tiktokbr #rj #brasil #brazil #mpb #foryou,0,2988,13,1586986444
24,6816055725870075142,2020-04-15,All eyez on me 📹🔥😎 #skimboarding #skimboard #trick #skate #riodejaneiro #rj #tiktokbrasil,All eyez on me 📹🔥😎 #skimboarding #skimboard #trick #skate #riodejaneiro #rj #tiktokbrasil,0,3601,10,1586986643
25,6818162996162907398,2020-04-21,SEVENtine 🔥 720 #shuvit on a #skimboard #fyp #viralvideo #tiktokbr #insane,SEVENtine 🔥 720 #shuvit on a #skimboard #fyp #viralvideo #tiktokbr #insane,0,3322,12,1587477280
26,6818164498512366854,2020-04-21,Birds eye view of me #paddling on a #skimboard in #RioDeJaneiro,Birds eye view of me #paddling on a #skimboard in #RioDeJaneiro,0,3361,15,1587477630
27,6819028009924726022,2020-04-23,Not today my friend 😂😂 #losecontrolchallenge #fail #viral #fyp,Not today my friend 😂😂 #losecontrolchallenge #fail #viral #fyp,0,3472,6,1587678681
28,6819029323639540997,2020-04-23,#BoredInTheHouse missing my #skimboarding routine 😭 #tiktok #waves #ocean,#BoredInTheHouse missing my #skimboarding routine 😭 #tiktok #waves #ocean,0,3331,10,1587678987
29,6819067086850067718,2020-04-24,Getting #jiggy with my #skimboard in #RiodeJaneiro 🔥🏡 #surf #skate #tiktokbr,Getting #jiggy with my #skimboard in #RiodeJaneiro 🔥🏡 #surf #skate #tiktokbr,0,5745,7,1587687780
30,6819313371611991301,2020-04-24,"#Run , #Drop and #Slide = #Skimboarding 🔥 #fyp #actionsports #waves #air","#Run , #Drop and #Slide = #Skimboarding 🔥 #fyp #actionsports #waves #air",0,5697,15,1587745122
31,6819397409433586949,2020-04-24,Hope i make it back to shore #fyp #waves #ocean #insane #travisscott #carioca #skimboard #surfing,Hope i make it back to shore #fyp #waves #ocean #insane #travisscott #carioca #skimboard #surfing,0,208600,14,1587764689
32,6819405831012896005,2020-04-24,#Golden dayz in #RioDeJaneiro ✨🔥 #fyp #brazil #views #epic #skimboarding #waves,#Golden dayz in #RioDeJaneiro ✨🔥 #fyp #brazil #views #epic #skimboarding #waves,0,5015,12,1587766650
33,6820083903106125061,2020-04-26,The skinny crew￼ in the #OutWestChallenge 😂@gustavocamara97 #outwest #travisscott #riodejaneiro,Tropa dos magreen￼ no #OutWestChallenge 😂@gustavocamara97 #outwest #travisscott #riodejaneiro,1,9540,9,1587924527
34,6820088054502509829,2020-04-26,When the sun is still coming up and you're already scoring big waves 🙌🏼🍇 #skimboarding #fyp #foryourpage #barrel #beach #sunrise #brazil,Quando ainda tá amanhecendo e você já ta pegando altas ondas 🙌🏼🍇 #skimboarding #fyp #foryourpage #barrel #beach #sunrise #brazil,1,7236,12,1587925492
35,6820106554423905542,2020-04-26,Went out there and came right back 🤷🏼‍♂️ #skimboard #role #tiktokbr #surf #wave #brasil #fyp,Fui ali e voltei 🤷🏼‍♂️ #skimboard #role #tiktokbr #surf #wave #brasil #fyp,1,5290,10,1587929799
36,6820166489375640838,2020-04-26,#Skateboarding on #water somewhere in #Brazil 🇧🇷🌴 #fyp #skimboarding #travisscott #trick #tiktokbr,#Skateboarding on #water somewhere in #Brazil 🇧🇷🌴 #fyp #skimboarding #travisscott #trick #tiktokbr,0,15500,14,1587943754
37,6820190551342681349,2020-04-27,When there’s no #waves 😂 When there's no #onda we improvise #fyp #skate #surf #skimboard #riodejaneiro #tiktokbr #brasil,When there’s no #waves 😂 Quando não tem #onda a gente improvisa #fyp #skate #surf #skimboard #riodejaneiro #tiktokbr #brasil,1,8560,9,1587949357
38,6820191683494300933,2020-04-27,Wait till the end for the #Fail 😂 It doesn't always work out ☠️ #fyp #wipeout #sefudeu #brasil #riodejaneiro #viral #funny,Wait till the end for the #Fail 😂 Nem sempre dá certo ☠️ #fyp #wipeout #sefudeu #brasil #riodejaneiro #viral #funny,1,7738,7,1587949620
39,6820436677111155973,2020-04-27,Come get #barreled with me 🤪🤩 Vem pegar um #tubo de #skimboard comigo 😱 #fyp #skimboarding #surfing #viral #gopro #selfie #relationship,Come get #barreled with me 🤪🤩 Vem pegar um #tubo de #skimboard comigo 😱 #fyp #skimboarding #surfing #viral #gopro #selfie #relationship,0,5253,15,1588006662
40,6820459463628147973,2020-04-27,How many spins?! // How many spins on that trick?! 🧐 #fyp #skimboarding #carioca #rj #tiktokbr #foryourpage,How many spins?! // Quantos giros nessa manobrs?! 🧐 #fyp #skimboarding #carioca #rj #tiktokbr #foryourpage,1,5779,8,1588011968
41,6820460789464337669,2020-04-27,What goes around... Comes around 🤷🏼‍♂️♻️ #fyp #foryou #skimboarding #wave #viralvideo,What goes around... Comes around 🤷🏼‍♂️♻️ #fyp #foryou #skimboarding #wave #viralvideo,0,8034,8,1588012276
42,6820464738535804165,2020-04-27,"Lotta #crazy stuff going on in one video, watch till the end😂 #fyp #slam #wipeout #fail #epic #funny #surfing #skimboarding #viralvideo","Lotta #crazy stuff going on in one video, watch till the end😂 #fyp #slam #wipeout #fail #epic #funny #surfing #skimboarding #viralvideo",0,6220,35,1588013196
43,6820471001554488581,2020-04-27,Slippin around 💦 in #Brazil 🇧🇷 #slippery #migos #tiktokbr #skimboarding #fyp #waves #trick #slide,Slippin around 💦 in #Brazil 🇧🇷 #slippery #migos #tiktokbr #skimboarding #fyp #waves #trick #slide,0,6484,9,1588014654
44,6820504110467501318,2020-04-27,#Sunrise shootings with @redbullbr 🚀🔥📸 #fyp #shooting #alleyezonme #skimboarding #summer,#Sunrise shootings with @redbullbr 🚀🔥📸 #fyp #shooting #alleyezonme #skimboarding #summer,0,5959,6,1588022363
45,6820506489636080901,2020-04-27,Small waves can get #savage 😱☠️ #fail #slam #balls #dead #fyp #skimboarding,Small waves can get #savage 😱☠️ #fail #slam #balls #dead #fyp #skimboarding,0,5740,6,1588022917
46,6820886902191787269,2020-04-28,Full #SICKOMODE on this turn 🔥🚀 #fyp #skimboarding #savage #foryou #viralvideo #travisscott #drake,Full #SICKOMODE on this turn 🔥🚀 #fyp #skimboarding #savage #foryou #viralvideo #travisscott #drake,0,7540,8,1588111488
47,6820887953552821510,2020-04-28,Name this #trick ?! 🧐 #fyp #skimboarding #viral #skate #skateboarding #wave #ocean #beach,Name this #trick ?! 🧐 #fyp #skimboarding #viral #skate #skateboarding #wave #ocean #beach,0,6499,7,1588111733
48,6821165541403790597,2020-04-29,Casual #skimboarding ride // Casual session in #RJ 🍇 #fyp #foryourpage #skimboard #riodejaneiro #carioca #gorillaz #feelgood,Casual #skimboarding ride // Rolé casual no #RJ 🍇 #fyp #foryourpage #skimboard #riodejaneiro #carioca #gorillaz #feelgood,1,7332,11,1588176364
49,6821639640530078981,2020-04-30,This was the best #wave of my life 🙌🏼🔥 Melhor #onda da vida! #fyp #skimboarding #surfing #surfranch #wavepool #barrel #beforeandafter,This was the best #wave of my life 🙌🏼🔥 Melhor #onda da vida! #fyp #skimboarding #surfing #surfranch #wavepool #barrel #beforeandafter,0,8034,21,1588286749
50,6821678124124654853,2020-05-01,This ond felt good #fyp #satisfaction #wings #barrel #skimboarding #surfing,This ond felt good #fyp #satisfaction #wings #barrel #skimboarding #surfing,0,6760,9,1588295709
51,6822047825405201670,2020-05-02,The weather was definitely sweet 🍯🍇 #fyp #skimboarding #waves #rainbow #paradise #brazil #riodejaneiro,The weather was definitely sweet 🍯🍇 #fyp #skimboarding #waves #rainbow #paradise #brazil #riodejaneiro,0,6592,15,1588381787
52,6824128142010060038,2020-05-07,#Skimboarding is like lucid dreaming for me ❤️✨🍀 #fyp #travisscott #wakeup #wakeupchallege #surfing #wave,#Skimboarding is like lucid dreaming for me ❤️✨🍀 #fyp #travisscott #wakeup #wakeupchallege #surfing #wave,0,9228,8,1588866149
53,6824232769002999045,2020-05-07,Flying right past your timeline 😎 #fyp #pravoce #tiktokbr #carioca #travisscott #butterflyeffect #skimboarding #likeaboss,Passando voado pela sua timeline 😎 #fyp #pravoce #tiktokbr #carioca #travisscott #butterflyeffect #skimboarding #likeaboss,1,7680,8,1588890509
54,6824234006935080197,2020-05-07,Can you belive I made this one?! 😱 #fyp #competition #contest #beastmode #insane #skimboarding #surfing,Can you belive I made this one?! 😱 #fyp #competition #contest #beastmode #insane #skimboarding #surfing,0,7674,20,1588890797
55,6826323476316458246,2020-05-13,The dream slide 🥶 #fyp #tossieslide #tossieslidechallenge #surfing #wavepool,The dream slide 🥶 #fyp #tossieslide #tossieslidechallenge #surfing #wavepool,0,13100,14,1589377290
56,6826324236215323910,2020-05-13,Flippin the switch on the #skimboard 🔥 #fyp #skimboarding #surfing #air #trick #tiktok #fliptheswitch,Flippin the switch on the #skimboard 🔥 #fyp #skimboarding #surfing #air #trick #tiktok #fliptheswitch,0,9452,13,1589377470
57,6826326380884544774,2020-05-13,Stylish exit // Stylish exit 😎 #fyp #skimboarding #surfing #travisscott #astroworld,Stylish exit // Saída estilosa 😎 #fyp #skimboarding #surfing #travisscott #astroworld,1,9560,15,1589377966
58,6826489484243193094,2020-05-14,Is this a new #WorldRecord for spins ?! 😱🤯 #fyp #viral #foryou #insane #challenge,Is this a new #WorldRecord for spins ?! 😱🤯 #fyp #viral #foryou #insane #challenge,0,12900,30,1589415942
59,6826748449069829381,2020-05-14,#TudoNoSigilo lolololol 😂 #quarentena #dancinhasdotiktok #fyp @nicolestank #carioca #rj #quarentena,#TudoNoSigilo rsrsrsrs 😂 #quarentena #dancinhasdotiktok #fyp @nicolestank #carioca #rj #quarentena,1,21800,15,1589476236
60,6826756261187554566,2020-05-14,Think we nailed it 😂😂 The #quarenteners crew jumping on the #tiktok #dancinhas 😁😁 #fyp #tiktokbr #rj @nicolestank @carolinastankevic,Sepa foi 😂😂 Tropa dos #quarenteners aderindo as #dancinhas do #tiktok 😁😁 #fyp #tiktokbr #rj @nicolestank @carolinastankevic,1,23100,12,1589478055
61,6826794257110650117,2020-05-14,Which way? Dat way? #fyp #migos #datway #skimboarding #surfing,Which way? Dat way? #fyp #migos #datway #skimboarding #surfing,0,13900,10,1589486902
62,6827988820550487301,2020-05-18,Cruising into your dm’s like 😂🚀 @redbull @redbullbr #GivesMeWings #fyp #skimboarding #tiktok #viral,Cruising into your dm’s like 😂🚀 @redbull @redbullbr #GivesMeWings #fyp #skimboarding #tiktok #viral,0,11500,6,1589765033
63,6828323656582565126,2020-05-18,Vou ali e já volto 🤙🏼 Be right back! #fyp #viralvideo #skimboarding #surfing #epic #tiktokbr,Vou ali e já volto 🤙🏼 Be right back! #fyp #viralvideo #skimboarding #surfing #epic #tiktokbr,0,276600,13,1589842993
64,6828324392066452741,2020-05-18,Baller frontside reverse air 🔥🚀 #fyp #ocean #beach #skimboarding #surfing #waves #goviral #roddyrich,Baller frontside reverse air 🔥🚀 #fyp #ocean #beach #skimboarding #surfing #waves #goviral #roddyrich,0,14100,5,1589843164
65,6828690497574325510,2020-05-19,"Beach, shade, cool water and a few little waves 🙌🏼💙 #fyp #tiktokbr #praia #beach #ondas #skimboarding","Praia, sombra, água fresca e umas ondinhas 🙌🏼💙 #fyp #tiktokbr #praia #beach #ondas #skimboarding",1,20400,13,1589928405
66,6830544354818477318,2020-05-24,changing directions on a #finless turn 🔥 #fyp #skimboarding #skimming #surfing #wave #ocean #gunna,Invertendo a direção // changing directions on a #finless turn 🔥 #fyp #skimboarding #skimming #surfing #wave #ocean #gunna,1,14800,8,1590360040
67,6830896193304907014,2020-05-25,Hometown session 🍇 #fyp #skimboarding #tiktokbr #riodejaneiro #praia #surf #ondas #viralvideo,Rolé de cria 🍇 #fyp #skimboarding #tiktokbr #riodejaneiro #praia #surf #ondas #viralvideo,1,25700,9,1590441958
68,6832681814335704326,2020-05-30,My best #wipeitdown impression 😂💦 #fyp #wipeitdownchallenge #skimboarding #surfing #beach #ocean,My best #wipeitdown impression 😂💦 #fyp #wipeitdownchallenge #skimboarding #surfing #beach #ocean,0,14900,9,1590857705
69,6832682565216800005,2020-05-30,Making everyone's day 😂😂 #skimboarding #surfing #surf #surfe #fyp #praia #riodejaneiro #tiktokbr,Fazendo a alegria da galera 😂😂 #skimboarding #surfing #surf #surfe #fyp #praia #riodejaneiro #tiktokbr,1,19700,11,1590857882
70,6833107685278240006,2020-05-31,#PewPewPewChallenge messing around with the boys #fyp #buzios #riodejaneiro #pewpewpew,#PewPewPewChallenge zuanu cozamigos #fyp #buzios #riodejaneiro #pewpewpew,1,15900,15,1590956861
71,6833519537720216838,2020-06-01,Making something out of nothing 🤯🔥 #fyp #surfing #waves #ocean #bananadrop #banana #bananachallenge #skimboarding,Making something out of nothing 🤯🔥 #fyp #surfing #waves #ocean #bananadrop #banana #bananachallenge #skimboarding,0,19300,7,1591052753
72,6834239546855591173,2020-06-03,#Skimboarding like a #Rockstar 🔥🚀 #fyp #surfing #rockstarchallenge #waves #ocean #beach #melhoresjogadas,#Skimboarding like a #Rockstar 🔥🚀 #fyp #surfing #rockstarchallenge #waves #ocean #beach #melhoresjogadas,0,17700,23,1591220394
73,6835050828986928389,2020-06-06,Ever seen anyone catch an #onda like this? 🤯🔥 #fyp #viralbrasil #surfe #surfing #skimboarding #tiktokbr,Já tinha visto alguém pegando #onda desse jeito? 🤯🔥 #fyp #viralbrasil #surfe #surfing #skimboarding #tiktokbr,1,24200,30,1591409285
74,6835064709570514181,2020-06-06,Definitely loosing control on that one 💣🔥😂 #fyp #bigwavesurfing #surfing #loosecontrol #loosehairchallenge,Definitely loosing control on that one 💣🔥😂 #fyp #bigwavesurfing #surfing #loosecontrol #loosehairchallenge,0,116300,11,1591412517
75,6835993080278093061,2020-06-08,Doing what I love 😍 #fyp #jj #outerbanks #skimboarding #surfing #waves #tricks #praia,Fazendo o que amo 😍 #fyp #jj #outerbanks #skimboarding #surfing #waves #tricks #praia,1,97200,15,1591628670
76,6837454748019395845,2020-06-12,Hitting the beach now that #quarentena is over 😂 Going to the beach after #covid19 is over! #fyp #quarantine #viral #surfing,Indo pra praia depois que a #quarentena acabou 😂 Going to the beach after #covid19 is over! #fyp #quarantine #viral #surfing,1,99400,10,1591968992
77,6837587060652510469,2020-06-12,How to enjoy #diadosnamorados and still score big waves ❤️🤝 #fyp #viralvideo #tikoktokbr #pravoce #surfe,Como curtir o #diadosnamorados e ainda pegar altas ondas ❤️🤝 #fyp #viralvideo #tikoktokbr #pravoce #surfe,1,51800,16,1591999799
78,6838196479065115910,2020-06-14,THROW IT AND THROW IT #podejogar #kevinochris #funk #carioca #fyp #surfe,JOGA Y JOGA #podejogar #kevinochris #funk #carioca #fyp #surfe,1,127700,8,1592141691
79,6838752366494354694,2020-06-16,All calculated 😂😂 #fyp #viralvideo #fail #crazy #whatspoppin #surfing,Tudo calculado 😂😂 #fyp #viralvideo #fail #crazy #whatspoppin #surfing,1,111500,11,1592271119
80,6840574809500372230,2020-06-20,Bet you can't watch this just once without getting dizzy 🤯🧐🤨 #fyp #theboatbeat #surfing #surfe #praia #brasilviral #riodejaneiro,Duvido você não ficar tonto e só assistir uma vez 🤯🧐🤨 #fyp #theboatbeat #surfing #surfe #praia #brasilviral #riodejaneiro,1,1600000,12,1592695439
81,6841564592070495494,2020-06-23,Anyone know the name of this trick?? #tiktokadrenalina #fyp #viralbrasil #praia #surfe #skimboarding #rj,Alguém sabe o nome dessa manobra?? #tiktokadrenalina #fyp #viralbrasil #praia #surfe #skimboarding #rj,1,654600,10,1592925890
82,6841670509399117062,2020-06-23,Stuck in a dream ✨🔥 #fyp #sunset #brazil #riodejaneiro #surfing #beach #dreamy,Stuck in a dream ✨🔥 #fyp #sunset #brazil #riodejaneiro #surfing #beach #dreamy,0,36400,17,1592950550
83,6841720992008588550,2020-06-24,Ya ya ya ya 🔥 #fyp #tiktokadrenalina #skimboard #skimboarding #surfe #skate,Ya ya ya ya 🔥 #fyp #tiktokadrenalina #skimboard #skimboarding #surfe #skate,0,312600,7,1592962305
84,6842769640960183557,2020-06-26,Always got an ace up my sleeve 😉 #fyp #viralbrasil #tiktokadrenalina #praia #rapbr #surfe,Sempre com uma carta na manga 😉 #fyp #viralbrasil #tiktokadrenalina #praia #rapbr #surfe,1,118000,12,1593206462
85,6842778672731114758,2020-06-26,Hit it and quit it 😘 #fyp #surfing #epic #viralvideo #skimboarding #roddyrich,Hit it and quit it 😘 #fyp #surfing #epic #viralvideo #skimboarding #roddyrich,0,350600,6,1593208565
86,6842780723779325190,2020-06-26,"Cool, calm and collected 😎 #fyp #tiktokbrasil #likeaboss #trick",Tranquilo e calmo 😎 #fyp #tiktokbrasil #likeaboss #trick,1,114200,9,1593209043
87,6842787367028264197,2020-06-26,When you find that sick one during your heat 🙌🏼🔥 #fyp #surfing #skimboarding #contest #california #lagunabeach #thescotts,When you find that sick one during your heat 🙌🏼🔥 #fyp #surfing #skimboarding #contest #california #lagunabeach #thescotts,0,8000000,13,1593210590
88,6843128090185567494,2020-06-27,Which way was sicker ➡️⬅️ ?! #fyp #viralbrasil #surfe #surfing #waves #skimboarding,Pra qual lado foi mais irado ➡️⬅️ ?! #fyp #viralbrasil #surfe #surfing #waves #skimboarding,1,118100,10,1593289925
89,6844638172257848582,2020-07-01,You will go crazy when the beat drops 🤯 Voando por ai com meu #skimboard 🚀 #fyp #tiktokadrenalina #surf #air #flying #surfing #waves #epicshit,You will go crazy when the beat drops 🤯 Voando por ai com meu #skimboard 🚀 #fyp #tiktokadrenalina #surf #air #flying #surfing #waves #epicshit,0,51800,15,1593641514
90,6850496937045626118,2020-07-17,Funky airdrop 😂 Almost broke my back at the end 🤯 #fyp #viral #almostfail #surfe #rj #carioca,Funky airdrop 😂 Quase quebrei as costas no final 🤯 #fyp #viral #almostfail #surfe #rj #carioca,1,2100000,9,1595005613
91,6850564780290362630,2020-07-17,"When there's no time to catch waves in the daylight, we go at night 😂🤯 #stargazing #night #travisscott #surf #surfing #skimboarding #fyp #riodejaneiro","Quando não dá tempo de pegar onda de dia, vamos a noite mesmo 😂🤯 #stargazing #night #travisscott #surf #surfing #skimboarding #fyp #riodejaneiro",1,139000,11,1595021409
92,6850806509983534341,2020-07-18,Speed it up but slow it down at the right times ✌🏼 #fyp #viralvideo #skimboarding #surf #surfing #brazil #gunna #speeditup,Speed it up but slow it down at the right times ✌🏼 #fyp #viralvideo #skimboarding #surf #surfing #brazil #gunna #speeditup,0,32900,17,1595077692
93,6851006787282275589,2020-07-19,How to get from one spot to another on the #praia 🚀 #audiooriginal #tiktokbrasil #riodejaneiro #carioca #skimboard #surf,Como se mover de um lugar para o outro na #praia 🚀 #audiooriginal #tiktokbrasil #riodejaneiro #carioca #skimboard #surf,1,110000,13,1595124323
94,6851010683748896006,2020-07-19,Sigo na sombra // Skimming in the shades 🖤 #fyp #skimboarding #surfe #beach #gangstasparadise #rap,Sigo na sombra // Skimming in the shades 🖤 #fyp #skimboarding #surfe #beach #gangstasparadise #rap,0,52000,11,1595125230
95,6851017879417113861,2020-07-19,"It's not a #TikTok effect, just an iPhone camera glitch 😂 #tiktokbrasil #brasilviral #skimboard #skimboarding #surfe #praia #rj","Não é efeito do #TikTok , foi só um bug da camera do iPhone 😂 #tiktokbrasil #brasilviral #skimboard #skimboarding #surfe #praia #rj",1,35400,8,1595126906
96,6851019998664658182,2020-07-19,Just GO! #fyp #viral #sendit #fullsend #gogogo #skimboarding #surfing #gopro,Just GO! #fyp #viral #sendit #fullsend #gogogo #skimboarding #surfing #gopro,0,86300,17,1595127400
97,6851373768099499269,2020-07-20,Money trick 🚀🔥💸 #fyp #surfing #skimboarding #lottery #lotterychallenge #beach #watersports,Money trick 🚀🔥💸 #fyp #surfing #skimboarding #lottery #lotterychallenge #beach #watersports,0,116200,8,1595209767
98,6852414046453468422,2020-07-22,Doiderinha de hoje 😂 #Sketchy one from today 🤯 #fyp #skimboarding #almostfail #surfing #skimboard #skimming,Doiderinha de hoje 😂 #Sketchy one from today 🤯 #fyp #skimboarding #almostfail #surfing #skimboard #skimming,0,271300,7,1595451975
99,6852414953383562502,2020-07-22,Exploring #praias out in the Região dos Lagos 🍇 #fyp #tiktokbr #carioca #riodejaneiro #skimboarding #surfe #aereo #trick,Desbravando #praias na Região dos Lagos 🍇 #fyp #tiktokbr #carioca #riodejaneiro #skimboarding #surfe #aereo #trick,1,39400,8,1595452186
100,6852416262195186949,2020-07-22,"Like a night #skate session, except on the #praia 😂 Nightime #skimboarding 🤯 #beach #epic #fyp #skate #skatebrasil","Tipo um rolé de #skate noturno, só que na #praia 😂 Nightime #skimboarding 🤯 #beach #epic #fyp #skate #skatebrasil",1,118200,13,1595452491
101,6852473852887403781,2020-07-23,"Go ahead, say itttt #fyp #mensagem #tiktokbr #viralbrasil #skimboarding #surfe #praia #rj #carioca",Pode falarrrr #fyp #mensagem #tiktokbr #viralbrasil #skimboarding #surfe #praia #rj #carioca,1,2500000,10,1595465901
102,6853777838303153414,2020-07-26,#Manobras novas que aprendi 🤯🔥🚀 New #tricks I’ve learned! #fyp #air #surfing #waves #drake #popstar #skimboarding #skate,#Manobras novas que aprendi 🤯🔥🚀 New #tricks I’ve learned! #fyp #air #surfing #waves #drake #popstar #skimboarding #skate,0,283100,7,1595769509
